jobUrl,jobId,companyName,companyUrl,jobTitle,logoUrl,location,insights,postDate,isEasyApply,isPromoted,applicantCount,url,query,category,timestamp,isRemote,workplaceType,data_analyst
https://www.linkedin.com/jobs/view/3268951554/,3268951554,Agoda,https://www.linkedin.com/company/66719/,"Data Analyst (Statistics/Python/BI) (Bangkok-based, relocation provided)",https://media-exp1.licdn.com/dms/image/C4D0BAQGBa_7QNZNwpw/company-logo_100_100/0/1656643826125?e=1672272000&v=beta&t=J2o2n80lHe_jt5BWKl4h0AUanAhVD3_JOZRwidBImqk,"Vancouver, BC",Actively recruiting,,False,True,18,https://www.linkedin.com/jobs/view/3268951554/,https://www.linkedin.com/jobs/search/?currentJobId=3177808976&f_JT=F&keywords=data%20analyst&refresh=true,Jobs,2022-09-23T00:04:29.589Z,,Hybrid,True
https://www.linkedin.com/jobs/view/3178067970/,3178067970,Citi,https://www.linkedin.com/company/11448/,Business Data Analyst,https://media-exp1.licdn.com/dms/image/C560BAQF1Y797wT1sRg/company-logo_100_100/0/1656644024034?e=1672272000&v=beta&t=rq3svooLhTBXmbTArt5zkYO2UO6UzkMV6MX0cXt-1Bs,"Mississauga, ON",Actively recruiting,2022-09-22,False,False,0,https://www.linkedin.com/jobs/view/3178067970/,https://www.linkedin.com/jobs/search/?currentJobId=3177808976&f_JT=F&keywords=data%20analyst&refresh=true,Jobs,2022-09-23T00:04:29.589Z,,On-site,True
https://www.linkedin.com/jobs/view/3259871615/,3259871615,Cognizant,https://www.linkedin.com/company/1680/,Data Analyst,https://media-exp1.licdn.com/dms/image/C560BAQHRO9T5YA3ouQ/company-logo_100_100/0/1657037248681?e=1672272000&v=beta&t=JJ4wfJb8c__rGiqfFC9rhRP1hL8RfgWGNMCNGKrzAU4,"Toronto, ON",1 connection works here,2022-09-09,False,False,0,https://www.linkedin.com/jobs/view/3259871615/,https://www.linkedin.com/jobs/search/?currentJobId=3177808976&f_JT=F&keywords=data%20analyst&refresh=true,Jobs,2022-09-23T00:04:29.589Z,,On-site,True
https://www.linkedin.com/jobs/view/3237607866/,3237607866,Tata Consultancy Services,https://www.linkedin.com/company/1353/,Senior Data Analyst,https://media-exp1.licdn.com/dms/image/C4D0BAQFPP1NRP4F5dQ/company-logo_100_100/0/1656657976685?e=1672272000&v=beta&t=w5cnMgFNdMFaAvAmgq28cX_K53j9vfrUbGdqfmOcX-g,"Toronto, ON",Top applicant,2022-08-29,True,False,0,https://www.linkedin.com/jobs/view/3237607866/,https://www.linkedin.com/jobs/search/?currentJobId=3177808976&f_JT=F&keywords=data%20analyst&refresh=true,Jobs,2022-09-23T00:04:36.181Z,,On-site,True
https://www.linkedin.com/jobs/view/3275635545/,3275635545,Johnson & Johnson,https://www.linkedin.com/company/1207/,Logistics Data Analyst 2023 Co op (8-month Contract),https://media-exp1.licdn.com/dms/image/C4D0BAQFwn8CHaum_AA/company-logo_100_100/0/1519856123566?e=1672272000&v=beta&t=-3H65U3GM2s5yXC84SIQmigS6ocyWAQp1Wbx_vbfDkQ,"Markham, ON",Actively recruiting,2022-09-19,False,False,23,https://www.linkedin.com/jobs/view/3275635545/,https://www.linkedin.com/jobs/search/?currentJobId=3177808976&f_JT=F&keywords=data%20analyst&refresh=true,Jobs,2022-09-23T00:04:36.181Z,,On-site,True
https://www.linkedin.com/jobs/view/3262434074/,3262434074,Motion Recruitment,https://www.linkedin.com/company/5887/,Solution Data Analyst III,https://media-exp1.licdn.com/dms/image/C4E0BAQGBvaHLa2cjkg/company-logo_100_100/0/1657739069646?e=1672272000&v=beta&t=BKcXl3U2Ih_7p_oib2TVqLqreC-AL_iRQJStffWNMlA,"Toronto, ON",Actively recruiting,2022-09-20,False,False,0,https://www.linkedin.com/jobs/view/3262434074/,https://www.linkedin.com/jobs/search/?currentJobId=3177808976&f_JT=F&keywords=data%20analyst&refresh=true,Jobs,2022-09-23T00:04:36.181Z,,On-site,True
https://www.linkedin.com/jobs/view/3155507448/,3155507448,TD,https://www.linkedin.com/company/2775/,Senior Data Analyst- EN,https://media-exp1.licdn.com/dms/image/C560BAQGAdNSAqeT_wQ/company-logo_100_100/0/1598638232221?e=1672272000&v=beta&t=cpsXpnwtNvw1QEbU-EOl8P0Y9utTrJfJZzIXtWIevrI,"Montreal, QC",1 connection works here,2022-06-08,False,False,0,https://www.linkedin.com/jobs/view/3155507448/,https://www.linkedin.com/jobs/search/?currentJobId=3177808976&f_JT=F&keywords=data%20analyst&refresh=true,Jobs,2022-09-23T00:04:36.182Z,,Hybrid,True
https://www.linkedin.com/jobs/view/3249058122/,3249058122,GFL Environmental Inc.,https://www.linkedin.com/company/2193256/,Data Analyst,https://media-exp1.licdn.com/dms/image/C560BAQHXFb6rN7jqPQ/company-logo_100_100/0/1519907570234?e=1672272000&v=beta&t=vNBlOoSx6-tjxHyZX9T1OV2ljZNfryF3EYJXJ5EUGyA,"Montreal, QC",2 alumni work here,2022-09-01,True,False,0,https://www.linkedin.com/jobs/view/3249058122/,https://www.linkedin.com/jobs/search/?currentJobId=3177808976&f_JT=F&keywords=data%20analyst&refresh=true,Jobs,2022-09-23T00:04:36.182Z,,Hybrid,True
https://www.linkedin.com/jobs/view/3056343927/,3056343927,NewFound Recruiting,https://www.linkedin.com/company/2254763/,Senior Data Analyst,https://media-exp1.licdn.com/dms/image/C560BAQGaNMp-XIJrVw/company-logo_100_100/0/1656677232674?e=1672272000&v=beta&t=GcSf3S14w0pHCOf5O-0P5iUMV5yQwoDRz1suITG8Ef8,"Toronto, ON",,2022-04-13,False,False,0,https://www.linkedin.com/jobs/view/3056343927/,https://www.linkedin.com/jobs/search/?currentJobId=3177808976&f_JT=F&keywords=data%20analyst&refresh=true,Jobs,2022-09-23T00:04:42.936Z,,,True
https://www.linkedin.com/jobs/view/3274890467/,3274890467,Fullscript,https://www.linkedin.com/company/2365653/,Data Analyst II (Canada Remote),https://media-exp1.licdn.com/dms/image/C560BAQGA2qy2d9RqMA/company-logo_100_100/0/1641915082934?e=1672272000&v=beta&t=crZsXX67iJro5vCHKoHT4HwaNArM_s7tNjtHgBa9wwM,"Ottawa, ON",1 connection works here,2022-08-28,False,False,1,https://www.linkedin.com/jobs/view/3274890467/,https://www.linkedin.com/jobs/search/?currentJobId=3177808976&f_JT=F&keywords=data%20analyst&refresh=true,Jobs,2022-09-23T00:04:42.937Z,True,Remote,True
